title,release_date,popularity,vote_average,genre_ids,genre_names,type
Lost in Space,13/04/2018,427.074,7.559,"[10765, 10759, 18, 35]","Sci-Fi & Fantasy, Action & Adventure, Drama, Comedy",tvshow
Lost in Space,13/04/2018,427.074,7.559,"[10765, 10759, 18, 35]","Sci-Fi & Fantasy, Action & Adventure, Drama, Comedy",tvshow
Lost in Space,15/09/1965,394.747,7.0,"[10765, 35]","Sci-Fi & Fantasy, Comedy",tvshow
Lost in Space,15/09/1965,394.747,7.0,"[10765, 35]","Sci-Fi & Fantasy, Comedy",tvshow
Lost in Space,15/09/1965,394.747,7.0,"[10765, 35]","Sci-Fi & Fantasy, Action & Adventure, Drama, Comedy",tvshow
Lost in Space,15/09/1965,394.747,7.0,"[10765, 35]","Sci-Fi & Fantasy, Action & Adventure, Drama, Comedy",tvshow
Timeless,03/10/2016,426.133,7.219,"[18, 10759, 10765]","Drama, Action & Adventure, Sci-Fi & Fantasy",tvshow
Timeless,03/10/2016,426.133,7.219,"[18, 10759, 10765]","Drama, Action & Adventure, Sci-Fi & Fantasy",tvshow
Reign,17/10/2013,424.861,8.043,[18],Drama,tvshow
Strictly Come Dancing,15/05/2004,424.401,6.145,[],,tvshow
Death in Paradise,25/10/2011,424.083,7.5,"[35, 80, 18, 9648]","Comedy, Crime, Drama, Mystery",tvshow
Star Trek: Picard,23/01/2020,423.354,7.3,"[10765, 10759, 18]","Sci-Fi & Fantasy, Action & Adventure, Drama",tvshow
The Magicians,16/12/2015,423.232,7.619,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
The Magicians,16/12/2015,423.232,7.619,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
Mayday,03/09/2003,422.9,8.209,"[99, 18, 80]","Documentary, Drama, Crime",tvshow
The Boys,25/07/2019,420.514,8.472,"[10765, 10759]","Sci-Fi & Fantasy, Action & Adventure",tvshow
The Boys,25/07/2019,420.514,8.472,"[10765, 10759]","Sci-Fi & Fantasy, Action & Adventure",tvshow
Sliders,22/03/1995,417.877,7.611,"[10759, 10765]","Action & Adventure, Sci-Fi & Fantasy",tvshow
Legion,08/02/2017,416.123,7.5,"[10759, 10765, 18]","Action & Adventure, Sci-Fi & Fantasy, Drama",tvshow
Legion,08/02/2017,416.123,7.5,"[10759, 10765, 18]","Action & Adventure, Sci-Fi & Fantasy, Drama",tvshow
My Little Pony: Friendship Is Magic,10/10/2010,415.491,8.1,"[16, 35, 10765, 10762]","Animation, Comedy, Sci-Fi & Fantasy, Kids",tvshow
The Daily Show,22/07/1996,414.825,6.294,"[10763, 35]","News, Comedy",tvshow
New Girl,20/09/2011,413.751,7.362,[35],Comedy,tvshow
Big Brother's Little Brother,29/05/2001,413.371,5.8,[10764],Reality,tvshow
Angel,05/10/1999,411.369,7.921,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
Angel,05/10/1999,411.369,7.921,"[10765, 18]","Animation, Drama, Kids",tvshow
FEUD,05/03/2017,410.563,7.907,[18],Drama,tvshow
Ozark,21/07/2017,409.462,8.209,"[80, 18]","Crime, Drama",tvshow
Ozark,21/07/2017,409.462,8.209,"[80, 18]","Crime, Drama",tvshow
Castle,09/03/2009,408.813,8.0,"[18, 80]","Drama, Crime",tvshow
Teen Wolf,05/06/2011,407.786,8.534,"[10765, 18, 35]","Sci-Fi & Fantasy, Drama, Comedy",tvshow
Teen Wolf,05/06/2011,407.786,8.534,"[10765, 18, 35]","Sci-Fi & Fantasy, Drama, Comedy",tvshow
Colony,14/01/2016,407.15,6.821,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
